'RA', 'Nota'
2001, 6
2002, 6
2003, 0
2004, 4
2005, 8
2006, 7
2007, 6
2008, 4
2009, 7
2010, 5
2011, 9
2012, 3
2013, 8
2014, 2
2015, 4
2016, 2
2017, 1
2018, 9
2019, 4
2020, 8
2021, 9
2022, 2
2023, 4
2024, 1
2025, 1
2026, 10
2027, 5
2028, 7
2029, 8
2030, 1
2031, 5
2032, 6
2033, 5
2034, 9
2035, 10
2036, 3
2037, 8
2038, 7
2039, 7
2040, 8
2041, 4
2042, 0
2043, 8
2044, 0
2045, 1
2046, 6
2047, 10
2048, 10
2049, 0
2050, 9
2051, 7
2052, 5
2053, 3
2054, 5
2055, 1
2056, 3
2057, 9
2058, 3
2059, 3
2060, 2
2061, 8
2062, 7
2063, 1
2064, 1
2065, 5
2066, 8
2067, 7
2068, 1
2069, 4
2070, 8
2071, 4
2072, 1
2073, 8
2074, 5
2075, 8
2076, 3
2077, 9
2078, 8
2079, 9
2080, 4
2081, 7
2082, 1
2083, 9
2084, 6
2085, 5
2086, 9
2087, 3
2088, 4
2089, 2
2090, 3
2091, 2
2092, 0
2093, 9
2094, 10
2095, 4
2096, 7
2097, 1
2098, 1
2099, 10
2100, 2
2101, 2
2102, 0
2103, 1
2104, 8
2105, 10
2106, 6
2107, 8
2108, 4
2109, 8
2110, 3
2111, 3
2112, 10
2113, 9
2114, 6
2115, 9
2116, 4
2117, 7
2118, 7
2119, 10
2120, 10
2121, 5
2122, 1
2123, 5
2124, 9
2125, 1
2126, 7
2127, 9
2128, 10
2129, 5
2130, 3
2131, 3
2132, 0
2133, 4
2134, 1
2135, 3
2136, 5
2137, 2
2138, 5
2139, 6
2140, 0
2141, 1
2142, 2
2143, 3
2144, 0
2145, 9
2146, 10
2147, 8
2148, 9
2149, 10
2150, 1
2151, 0
2152, 1
2153, 10
2154, 3
2155, 9
2156, 9
2157, 1
2158, 6
2159, 1
2160, 5
2161, 1
2162, 0
2163, 9
2164, 0
2165, 3
2166, 2
2167, 1
2168, 7
2169, 3
2170, 0
2171, 10
2172, 0
2173, 8
2174, 6
2175, 9
2176, 1
2177, 4
2178, 1
2179, 3
2180, 1
2181, 10
2182, 4
2183, 5
2184, 6
2185, 2
2186, 0
2187, 8
2188, 7
2189, 0
2190, 9
2191, 1
2192, 6
2193, 3
2194, 4
2195, 5
2196, 7
2197, 9
2198, 2
2199, 10
2200, 3
2201, 0
2202, 10
2203, 2
2204, 2
2205, 5
2206, 8
2207, 4
2208, 1
2209, 9
2210, 7
2211, 10
2212, 2
2213, 0
2214, 7
2215, 10
2216, 6
2217, 9
2218, 8
2219, 4
2220, 10
2221, 5
2222, 6
2223, 10
2224, 4
2225, 2
2226, 8
2227, 0
2228, 7
2229, 1
2230, 5
2231, 0
2232, 8
2233, 4
2234, 2
2235, 3
2236, 7
2237, 5
2238, 9
2239, 4
2240, 10
2241, 5
2242, 9
2243, 10
2244, 9
2245, 2
2246, 4
2247, 6
2248, 6
2249, 10
2250, 1
2251, 0
2252, 9
2253, 3
2254, 5
2255, 2
2256, 3
2257, 3
2258, 10
2259, 7
2260, 6
2261, 10
2262, 9
2263, 6
2264, 0
2265, 6
2266, 9
2267, 6
2268, 10
2269, 0
2270, 2
2271, 7
2272, 1
2273, 4
2274, 2
2275, 7
2276, 8
2277, 7
2278, 8
2279, 9
2280, 0
2281, 0
2282, 7
2283, 5
2284, 4
2285, 7
2286, 0
2287, 6
2288, 3
